weight_lightgbm,weight_xgboost,weight_random_forest,rmse,mae,r2,exact_match_hits_rounded,exact_match_rate_rounded,bucket_accuracy_0_1_2_3plus,n_samples
0.05,0.25,0.7,0.912999030268183,0.6395323500468602,0.273915469808939,4682,0.5330145719489982,0.5416666666666666,8784
0.05,0.3,0.65,0.9123232052466789,0.6386994911898346,0.2749900043055258,4680,0.5327868852459017,0.5414389799635702,8784
0.05,0.35,0.6,0.9118464662274572,0.6379574268153816,0.27574752147530157,4679,0.5326730418943534,0.5410974499089253,8784
0.05,0.4,0.55,0.9115691255688871,0.637281739890818,0.27618802131826614,4684,0.5332422586520947,0.5414389799635702,8784
0.05,0.45,0.5,0.9114913652845792,0.6366765764265502,0.2763115038344196,4682,0.5330145719489982,0.5412112932604736,8784
0.05,0.5,0.45,0.9116132364469393,0.6361435457710594,0.27611796902376207,4691,0.5340391621129326,0.542235883424408,8784
0.05,0.55,0.4,0.9119346590195904,0.635681734055009,0.2756074168862932,4698,0.5348360655737705,0.5430327868852459,8784
0.05,0.6,0.35,0.9124554221199446,0.6353449765325245,0.27477984742201345,4707,0.5358606557377049,0.543943533697632,8784
0.05,0.65,0.3,0.9131751847099179,0.6351525082926488,0.27363526063092247,4712,0.5364298724954463,0.5441712204007286,8784
0.05,0.7,0.25,0.9140934767095186,0.6350876928076028,0.2721736565130204,4723,0.5376821493624773,0.5454234972677595,8784
0.05,0.75,0.2,0.9152097005248547,0.6351579682841139,0.2703950350683072,4715,0.536771402550091,0.5445127504553734,8784
0.05,0.8,0.15,0.9165231329790261,0.6353951819962559,0.268299396296783,4720,0.5373406193078324,0.5449681238615665,8784
0.05,0.85,0.1,0.9180329276314556,0.6357688946758409,0.2658867401984475,4722,0.537568306010929,0.5453096539162113,8784
0.05,0.9,0.05,0.9197381174684834,0.6362741477970577,0.263157066773301,4721,0.5374544626593807,0.5453096539162113,8784
0.05,0.95,0.0,0.9216376179455537,0.6368987045262444,0.26011037602134346,4722,0.537568306010929,0.5457650273224044,8784
0.1,0.0,0.9,0.917619178974873,0.6435378432784375,0.2665483067281279,4630,0.5270947176684881,0.5356329690346083,8784
0.1,0.05,0.85,0.916102702106642,0.642258467871678,0.2689705391268923,4643,0.5285746812386156,0.5371129326047359,8784
0.1,0.1,0.8,0.9147826570123958,0.641114550348406,0.2710757541988452,4660,0.5305100182149363,0.5390482695810564,8784
0.1,0.15,0.75,0.9136598950994963,0.6400593859995594,0.2728639519439874,4675,0.5322176684881603,0.5406420765027322,8784
0.1,0.2,0.7,0.9127351444065156,0.6390881266302234,0.2743351323623182,4682,0.5330145719489982,0.5414389799635702,8784
0.1,0.25,0.65,0.9120090072665619,0.6382280387174145,0.27548929545383793,4685,0.533356102003643,0.5417805100182149,8784
0.1,0.3,0.6,0.911481958359513,0.6374619279518124,0.27632644121854655,4681,0.5329007285974499,0.5412112932604736,8784
0.1,0.35,0.55,0.9111543431677437,0.6367536599459991,0.2768465696564443,4678,0.5325591985428051,0.5408697632058288,8784
0.1,0.4,0.5,0.911026376847009,0.6361230079486921,0.27704968076753056,4677,0.5324453551912568,0.5407559198542805,8784
0.1,0.45,0.45,0.9110981435210648,0.6355607795257852,0.27693577455180607,4681,0.5329007285974499,0.5409836065573771,8784
0.1,0.5,0.4,0.911369596005413,0.6350799445067585,0.27650485100927025,4697,0.5347222222222222,0.5429189435336976,8784
0.1,0.55,0.35,0.9118405559622828,0.6347383461970937,0.2757569101399233,4717,0.5369990892531876,0.5448542805100182,8784
0.1,0.6,0.3,0.9125107144856639,0.6345353935879053,0.2746919519437653,4720,0.5373406193078324,0.545195810564663,8784
0.1,0.65,0.25,0.9133796331119196,0.6344527233676992,0.27330997642079613,4712,0.5364298724954463,0.5442850637522769,8784
0.1,0.7,0.2,0.9144467452482891,0.6344842605303929,0.271610983571016,4719,0.5372267759562842,0.5449681238615665,8784
0.1,0.75,0.15,0.9157113580084667,0.6346722592538915,0.2695949733944245,4713,0.5365437158469946,0.5443989071038251,8784
0.1,0.8,0.1,0.9171726544414783,0.6350099355260086,0.26726194589102215,4723,0.5376821493624773,0.5454234972677595,8784
0.1,0.85,0.05,0.9188296961372882,0.6354940604389061,0.26461190106080856,4731,0.5385928961748634,0.546448087431694,8784
0.1,0.9,0.0,0.9206814261899994,0.6361003937815387,0.26164483890378376,4726,0.538023679417122,0.5463342440801457,8784
0.15,0.0,0.85,0.9161108415914693,0.6419520838021395,0.26895754881559886,4644,0.5286885245901639,0.5373406193078324,8784
0.15,0.05,0.8,0.9147408413231713,0.6407789194122899,0.27114239248248484,4661,0.5306238615664846,0.5391621129326047,8784
0.15,0.1,0.75,0.9135679969585256,0.6397044172028012,0.2730102188225598,4667,0.5313069216757741,0.5397313296903461,8784
0.15,0.15,0.7,0.9125930686390284,0.6387224083220708,0.2745610278358237,4682,0.5330145719489982,0.5414389799635702,8784
0.15,0.2,0.65,0.9118166912094671,0.6378418557294526,0.27579481952227636,4672,0.5318761384335154,0.5400728597449909,8784
0.15,0.25,0.6,0.9112393721670279,0.6370484780906109,0.276711593881918,4684,0.5332422586520947,0.5414389799635702,8784
0.15,0.3,0.55,0.9108614900112609,0.6363116603258079,0.27731135091474834,4688,0.5336976320582878,0.5418943533697632,8784
0.15,0.35,0.5,0.9106832930073473,0.6356502390917343,0.2775940906207679,4684,0.5332422586520947,0.5410974499089253,8784
0.15,0.4,0.45,0.9107048983720653,0.6350555282589041,0.2775598129999761,4690,0.5339253187613844,0.5415528233151184,8784
0.15,0.45,0.4,0.9109262918886676,0.6345604646190753,0.27720851805237323,4694,0.5343806921675774,0.542235883424408,8784
0.15,0.5,0.35,0.9113473279536176,0.634201130408761,0.27654020577795946,4710,0.5362021857923497,0.5441712204007286,8784
0.15,0.55,0.3,0.9119677300548281,0.6339949956070696,0.27555487617673435,4720,0.5373406193078324,0.545195810564663,8784
0.15,0.6,0.25,0.9127870916777413,0.6338850850824165,0.27425252924869814,4726,0.538023679417122,0.5458788706739527,8784
0.15,0.65,0.2,0.913804877632342,0.6338792500902843,0.2726331649938507,4723,0.5376821493624773,0.5456511839708561,8784
0.15,0.7,0.15,0.9150204257910344,0.6340321459438293,0.2706967834121924,4724,0.5377959927140255,0.5456511839708561,8784
0.15,0.75,0.1,0.9164329492243001,0.6343357802952345,0.26844338450372296,4723,0.5376821493624773,0.5456511839708561,8784
0.15,0.8,0.05,0.918041538718204,0.6347825229010847,0.2658729682684422,4723,0.5376821493624773,0.5456511839708561,8784
0.15,0.85,0.0,0.9198451656551897,0.635376453285908,0.26298553470635044,4728,0.5382513661202186,0.5465619307832422,8784
0.2,0.0,0.8,0.9148206133049599,0.640514785664184,0.27101526368625073,4653,0.5297131147540983,0.5384790528233151,8784
0.2,0.05,0.75,0.913597841913759,0.6394196868795179,0.27296271862125854,4654,0.5298269581056466,0.5383652094717668,8784
0.2,0.1,0.7,0.9125728598584822,0.6384247827620431,0.27459315622945535,4666,0.5311930783242259,0.5397313296903461,8784
